cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
,,,,MBP,UBE2L6,ING4,MMP7,C12orf73,GSTM1
,,,,ATP9B,FAM111A-DT,MLF2,MSANTD4,NFYB,VSNL1
,,,,NFATC1,FAM111A,LAG3,CWF19L2,TXNRD1,GULP1
,,,,HSBP1L1,OSBP,TPI1,ALKBH8,EID3,LAMC3
,,,,CDC34,TMEM138,LRRC23,C11orf65,C12orf45,KIRREL3
,,,,BSG,CPSF7,ENO2,PPP2R1B,C12orf75,SIX3
,,,,R3HDM4,SDHAF2,C1R,NKAPD1,BTBD11,SNHG18
,,,,CNN2,PPP1R32,C1RL-AS1,TEX12,USP30,PCDHB13
,,,,GPX4,MTA2,RBP5,BCO2,ALKBH2,LCN15
,,,,STK11,ROM1,CLSTN3,ZBTB16,IFT81,CDH2
,,,,NDUFS7,C11orf98,FAM66C,REXO2,FAM216A,CNTN1
,,,,UQCR11,UBXN1,KLRG1,ZPR1,TCTN1,PNMA8A
,,,,ABHD17A,HNRNPUL2,CLEC2D,RNF214,ATXN2-AS,MAB21L4
,,,,SCAMP4,TTC9C,CLECL1,BACE1,NAA25,NCR2
,,,,AP3D1,ZBTB3,CLEC9A,TMEM25,RPL6,SPESP1
,,,,ZNF555,TMEM179B,STYK1,IFT46,DDX54,IRX1
,,,,FZR1,STX5,TAS2R10,DPAGT1,RBM19,DEFA3
,,,,MFSD12,NUDT22,TAS2R46,RNF26,VSIG10,LRATD1
,,,,PIP5K1C,DNAJC4,MANSC1,TLCD5,PEBP1,PCDHB2
,,,,DAPK3,FKBP2,GPRC5D-AS1,SC5D,GCN1,PCDHB4
,,,,PIAS4,BAD,C12orf60,HSPA8,RPLP0,CDH8
,,,,SIRT6,GPR137,SOX5-AS1,ZNF202,PXN-AS1,
,,,,MPND,ZFPL1,FGFR1OP2,ESAM,NRAV,
,,,,SH3GL1,SYVN1,CPNE8-AS1,ROBO4,POP5,
,,,,UBXN6,CAPN1,ABCD2,CCDC15-DT,MLEC,
,,,,DPP9,DPF2,YAF2,RPUSD4,UNC119B,
,,,,ARRDC5,SLC25A45,PCED1B,FOXRED1,BCL7A,
,,,,KDM4B,SCYL1,SLC48A1,ETS1,CCDC62,
,,,,TINCR,SSSCA1-AS1,PFKM,ARHGAP32,PITPNM2,
,,,,MLLT1,SIPA1,ADCY6-DT,NFRKB,MPHOSPH9,
,,,,DENND1C,RELA-DT,CACNB3,ZBTB44,DDX55,
,,,,VAV1,KAT5,RND1,THYN1,GTF2H3,
,,,,PEX11G,MUS81,CCDC65,CCDC77,ATP6V0A2,
,,,,PCP2,C11orf68,PRPH,CACNA1C,ZNF664,
,,,,EVI5L,SART1,DNAJC22,CACNA1C-AS2,RFLNA,
,,,,MAP2K7,PACS1,FMNL3,NRIP2,SCARB1,
,,,,SNAPC2,CD248,COX14,RHNO1,DHX37,
,,,,CERS4,BRMS1,SMAGP,TULP3,THRIL,
,,,,ZNF699,RCE1,KRT72,CRACR2A,DDX51,
,,,,S1PR2,SSH3,KRT73,CCND2-AS1,NOC4L,
,,,,SLC44A2,RPS6KB2,KRT2,MRPL51,ZNF84,
,,,,DNM2,TMEM134,IGFBP6,GAPDH,ZNF891,
,,,,CARM1,AIP,SOAT2,CHD4,ZNF10,
,,,,SWSAP1,KMT5B,C12orf10,LPAR5,EEF1AKMT1,
,,,,ACP5,PPP6R3,AAAS,USP5,MRPL57,
,,,,ZSWIM4,LTO1,SARNP,C12orf57,RPL21,
,,,,CC2D1A,NADSYN1,ESYT1,C1S,FLT3,
,,,,RFX1,RNF121,GLS2,PEX5,KATNAL1,
,,,,ADGRE5,NUMA1,DTX3,RIMKLB,RFXAP,
,,,,PKN1,LAMTOR1,AGAP2,PHC1,SMAD9,
,,,,ZNF333,C2CD3,9-Mar,A2M-AS1,KBTBD6,
,,,,ADGRE2,RNF169,TAFA2,CLEC1B,NUFIP1,
,,,,BRD4,SPCS2,LEMD3,PRH1,EBPL,
,,,,FAM32A,EMSY,HMGA2,PRR4,SPRYD7,
,,,,AP1M1,RSF1-IT1,HMGA2-AS1,TAS2R14,RNASEH2B-AS1,
,,,,MED26,INTS4,BEST3,SMIM10L1,RNASEH2B,
,,,,SMIM7,PCF11-AS1,RAB3IP,BCL2L14,CKAP2,
,,,,ABHD8,ANKRD42,PTPRR,FAM234B,HNRNPA1L2,
,,,,MRPL34,TMEM135,TBC1D15,WBP11,MZT1,
,,,,BISPR,CHORDC1,CSRP2,STRAP,UCHL3,
,,,,MVB12A,C11orf54,SYT1,PLEKHA5,POU4F1,
,,,,MAP1S,CCDC82,PPP1R12A-AS1,BCAT1,RBM26-AS1,
,,,,FCHO1,JRKL,CCDC59,CASC1,GPR180,
,,,,ARRDC2,DYNC2H1,KITLG,ETFRF1,CLYBL,
,,,,MPV17L2,CASP4,SOCS2-AS1,ITPR2,TMTC4,
,,,,IQCN,KBTBD3,SOCS2,INTS13,TEX30,
,,,,FKBP8,CUL5,CRADD,MED21,POGLUT2,
,,,,UPF1,NPAT,CEP83-DT,ARNTL2-AS1,BIVM,
,,,,MEF2B,RDX,NDUFA12,REP15,EFNB2,
,,,,USF2,USP28,ARL1,MRPS35,DCUN1D2,
,,,,HAMP,C11orf71,GNPTAB,ERGIC2,TMCO3,
,,,,FAM98C,DDX6,WASHC3,SINHCAF,CHAMP1,
,,,,LGALS4,CCDC84,C12orf42,DNM1L,CCNB1IP1,
,,,,RINL,HINFP,TDG,YARS2,PARP2,
,,,,NFKBIB,NECTIN1,POLR3B,ALG10,APEX1,
,,,,LRFN1,OAF,MTERF2,PDZRN4,ZNF219,
,,,,GMFG,SORL1,CRY1,PPHLN1,TMEM253,
,,,,SAMD4B,CLMP,SVOP,ZCRB1,SUPT16H,
,,,,MED29,SIAE,USP30-AS1,PUS7L,PRMT5,
,,,,C19orf47,TMEM218,ACACB,SLC38A1,PSMB5,
,,,,MIA,PUS3,C12orf76,RPAP3,DTD2,
,,,,RAB4B,SRPRA,RAD9B,KANSL2,NUBPL,
,,,,TGFB1,VPS26B,TMEM116,CCNT1,ARHGAP5,
,,,,TMEM91,ACAD8,ERP29,ADCY6,CFL2,
,,,,GSK3A,NINJ2,IQCD,PRPF40B,BRMS1L,
,,,,CIC,ERC1,SDSL,SMARCD1,PRPF39,
,,,,LIPE-AS1,C12orf4,BICDL1,LARP4,FANCM,
,,,,IRGQ,AKAP3,SIRT4,LETMD1,RPS29,
,,,,ZNF230,SCNN1A,COX6A1,KRT8,DNAAF2,
,,,,NECTIN2,CD27-AS1,SRSF9,KRT18,SAV1,
,,,,CLPTM1,TAPBPL,DYNLL1,EIF4B,TRIM9,
,,,,GEMIN7,SPSB2,COQ5,ZNF740,GNPNAT1,
,,,,MARK4,ATN1,ACADS,ATP5MC2,KTN1-AS1,
,,,,PPP1R13L,C1RL,RHOF,TESPA1,NAA30,
,,,,RTN2,A2M,WDR66,IKZF4,TOMM20L,
,,,,FBXO46,CD69,RSRC2,ANKRD52,TIMM9,
,,,,PPP5D1,YBX3,HCAR1,COQ10A,GPR135,
,,,,PRKD2,TAS2R20,ARL6IP4,CS,L3HYPDH,
,,,,FKRP,HEBP1,SNRNP35,CNPY2,MNAT1,
,,,,CCDC9,EMP1,CCDC92,APOF,TRMT5,
,,,,INAFM1,ATF7IP,AACS,ATP5F1B,TMEM30B,
,,,,CARD8,DERA,EP400,PTGES3,WDR89,
,,,,DBP,AEBP2,ANKLE2,NACA,AKAP5,
,,,,NUCB1,CMAS,ZNF605,ZBTB39,PLEKHD1,
,,,,LIN7B,ETNK1,ZNF84-DT,HELB,DCAF4,
,,,,SLC6A16,SOX5,PSPC1-AS2,MYRFL,ACOT4,
,,,,MED25,STK38L,PSPC1,PTPRB,DNAL1,
,,,,TBC1D17,PPFIBP1,GJA3,ATXN7L3B,ENTPD5,
,,,,NUP62,CCDC91,SAP18,CAPS2,BBOF1,
,,,,NR1H2,IPO8,MICU2,GLIPR1L2,ACYP1,
,,,,EMC10,CAPRIN2,SPATA13-AS1,PAWR,TTLL5,
,,,,CD33,ETFBKMT,PABPC3,TMTC3,SAMD15,
,,,,TSEN34,AMN1,POLR1D,UBE2N,SLIRP,
,,,,LENG8,H3F3C,POMP,MRPL42,SPATA7,
,,,,LENG9,GXYLT1,UBE2L5,VEZT,TTC8,
,,,,GP6,SCAF11,KL,CFAP54,TDP1,
,,,,BRSK1,HDAC7,STOML3,NEDD1,TTC7B,
,,,,SSC5D,ASB8,DNAJC15,SLC25A3,UBR7,
,,,,ZNF865,DDX23,SMIM2-AS1,ACTR6,UNC79,
,,,,A1BG-AS1,ARF3,GTF2F2,TMEM263,SNHG10,
,,,,CHMP2A,KMT2D,TPT1,PWP1,GLRX5,
,,,,NSFL1C,MCRS1,SLC25A30,MVK,AK7,
,,,,ATRN,BCDIN3D,LRRC63,ANAPC7,SLC25A29,
,,,,CENPB,CERS5,SUCLA2,GPN3,DLK1,
,,,,SLC23A2,DIP2B,KCNRG,MAPKAPK5,MEG8,
,,,,CDS2,NFE2,ATP7B,PTPN11,DIO3OS,
,,,,RALGAPA2,DNAJC14,NEK5,RITA1,MOK,
,,,,ENTPD6,PYM1,THSD1,FBXW8,TRMT61A,
,,,,PYGB,DGKA,SUGT1,TESC,ZBTB42,
,,,,HM13,SUOX,OLFM4,PLA2G1B,CLBA1,
,,,,HM13-IT1,SMARCC2,LMO7,TRIAP1,MTA1,
,,,,MAPRE1,PAN2,MYCBP2,C12orf43,TMEM121,
,,,,CBFA2T2,GLI1,SLITRK6,ANAPC5,HERC2,
,,,,NCOA6,MARS,MIR4500HG,KDM2B-DT,GOLGA8H,
,,,,MMP24OS,DCTN2,SLITRK5,ORAI1,FAN1,
,,,,DLGAP4,TSPAN31,TGDS,MORN3,GOLGA8O,
,,,,SRC,SLC16A7,FARP1,TMEM120B,RYR3,
,,,,BLCAP,LLPH,DOCK9,LRRC43,AVEN,
,,,,RALGAPB,DYRK2,UBAC2-AS1,ZCCHC8,GOLGA8A,
,,,,OSER1,FRS2,PCCA,DENR,GOLGA8B,
,,,,FITM2,CNOT2,PCID2,HIP1R,DPH6,
,,,,YWHAB,KCNMB4,GAS6-DT,ABCB9,DPH6-DT,
,,,,STK4-AS1,ZFC3H1,CDC16,OGFOD2,C15orf41,
,,,,STK4,THAP2,UPF3A,C12orf65,FAM98B,
,,,,SYS1,BBS10,TTC5,CDK2AP1,FSIP1,
,,,,DNTTIP1,PPP1R12A,OSGEP,SBNO1,C15orf56,
,,,,ARFGEF2,METTL25,PNP,SBNO1-AS1,BAHD1,
,,,,STAU1,POC1B,METTL17,KMT5A,CHST14,
,,,,TMEM189,POC1B-AS1,HNRNPC,TMED2-DT,RPUSD2,
,,,,BCAS1,CDK17,SALL2,DNAH10,MGA,
,,,,FAM210B,IKBIP,TRDC,DNAH10OS,HAUS2,
,,,,NKILA,SYCP3,TRAC,FBRSL1,LCMT2,
,,,,RAB22A,CHST11,MRPL52,ZNF26,TUBGCP4,
,,,,STX16,APPL2,HAUS4,ZNF268,TP53BP1,
,,,,SS18L1,RIC8B,AJUBA,IFT88,PPIP5K1,
,,,,OSBPL2,FICD,SLC7A8,XPO4,EIF3J,
,,,,MRGBP,SART3,SLC22A17,LATS2-AS1,SORD,
,,,,YTHDF1,KCTD10,PSME1,GTF3A,GATM,
,,,,PPDPF,TCHP,PSME2,LNX2,MYEF2,
,,,,OPRL1,ATXN2,REC8,PAN3-AS1,FBN1,
,,,,GABPA,BRAP,MDP1,PAN3,HDC,
,,,,EVA1C,ACAD10,NYNRIN,STARD13,NEDD4,
,,,,SLC5A3,MAPKAPK5-AS1,SDR39U1,NBEA,TEX9,
,,,,CBR1,HECTD4,NOVA1,SPART,HACD3,
,,,,MORC3,FBXO21,EGLN3,ALG5,SLC24A1,
,,,,NDUFV3,TAOK3,EAPP,LHFPL6,DIS3L,
,,,,PTTG1IP,SUDS3,PRORP,COG6,RPL4,
,,,,COL18A1,PRKAB1,MIPOL1,MRPS31,RPLP1,
,,,,MCM3AP,GATC,MDGA2,VWA8,NR2E3,
,,,,BCL2L13,RNF10,RPL36AL,CCDC122,SIN3A,
,,,,TMEM191B,SPPL3,ABHD12B,TUSC8,RCN2,
,,,,MED15,RNF34,FRMD6-AS1,TSC22D1,TSPAN3,
,,,,PI4KA,KDM2B,NID2,TSC22D1-AS1,TMED3,
,,,,SNAP29,MLXIP,PTGDR,GPALPP1,FAH,
,,,,LZTR1,CLIP1-AS1,FERMT2,ESD,HOMER2,
,,,,PPIL2,VPS37B,SOCS4,CDADC1,ZSCAN2,
,,,,PPM1F,TMED2,ATG14,SETDB2,AEN,
,,,,TOP3B,EIF2B1,CCDC175,RCBTB1,ZNF710-AS1,
,,,,IGLC1,SFSWAP,PCNX4,TRIM13,SV2B,
,,,,MIF-AS1,GOLGA3,HSPA2,DLEU1,MCTP2,
,,,,TBC1D10A,ZNF140,PPP1R36,ALG11,IGF1R,
,,,,PIK3IP1-AS1,TPTE2,MAX,BORA,CHSY1,
,,,,PISD,MPHOSPH8,FAM71D,DIS3,PCSK6,
,,,,PRR14L,ZMYM5,PIGH,PIBF1,TARSL2,
,,,,DEPDC5,ZMYM2,ARG2,KLF12,POLR3K,
,,,,RFPL3S,LATS2,ACTN1,MYCBP2-AS1,NME4,
,,,,APOL3,FGF9,COX16,SLAIN1,MCRIP2,
,,,,APOL2,PARP4,SYNJ2BP,OBI1,JMJD8,
,,,,APOL1,RNF6,PNMA1,RBM26,HAGHL,
,,,,GGA1,CDK8,ISCA2,NDFIP2,TELO2,
,,,,PICK1,USP12,PGF,GPC5,IFT140,
,,,,TMEM184B,MTIF3,EIF2B2,PCCA-DT,CRAMP1,
,,,,JOSD1,SLC46A3,MLH3,TPP2,JPT2,
,,,,TEF,USPL1,ZC2HC1C,CCDC168,MRPS34,
,,,,TOB2,HSPH1,IFT43,ARGLU1,NUBP2,
,,,,MEI1,N4BP2L2,VASH1-AS1,ANKRD10,RPS2,
,,,,WBP2NL,PDS5B,PSMC1,MCF2L,SNHG9,
,,,,TCF20,SUPT20H,NRDE2,MCF2L-AS1,NPW,
,,,,ARFGAP3,UFM1,GPR68,GRTP1,PKD1,
,,,,PACSIN2,PROSER1,TC2N,GAS6-AS1,SNHG19,
,,,,NUP50,NHLRC3,FBLN5,KLHL33,MLST8,
,,,,PRR34,ELF1,MOAP1,METTL3,TBC1D24,
,,,,TBC1D22A,WBP4,GON7,DAD1,ZG16B,
,,,,CRELD2,MTRF1,OTUB2,NGDN,MTRNR2L4,
,,,,PIM3,NAA16,DDX24,ZFHX2,TFAP4,
,,,,TRABD,AKAP11,DICER1-AS1,DHRS4,PAM16,
,,,,SELENOO,TPT1-AS1,BCL11B,EMC9,DNAJA3,
,,,,CHKB,COG3,EVL,GMPR2,ALG1,
,,,,ASMTL-AS1,ZC3H13,CINP,STXBP6,RSL1D1,
,,,,DHRSX-IT1,LRCH1,BAG5,ARHGAP5-AS1,NPIPA1,
,,,,PRKX,MED4,KIF26A,AKAP6,ABCC1,
,,,,WWC3,RB1-DT,INF2,PSMA6,NPIPA9,
,,,,TCEANC,LPAR6,JAG2,MBIP,KNOP1,
,,,,ZRSR2,FNDC3A,BRF1,CLEC14A,REXO5,
,,,,SYAP1,KPNA3,IGHD,GEMIN2,POLR3E,
,,,,BCLAF3,INTS6-AS1,IGHM,PNN,CDR2,
,,,,RPS6KA3,DHRS12,FAM30A,TOGARAM1,UBFD1,
,,,,PDK3,VPS36,NIPA1,FKBP3,PALB2,
,,,,TAB3,TDRD3,SNRPN,KLHDC1,LCMT1-AS1,
,,,,DYNLT3,COMMD6,ATP10A,KLHDC2,TUFM,
,,,,CXorf38,CLN5,GOLGA6L7,VCPKMT,SPN,
,,,,USP9X,DNAJC3-DT,CHRFAM7A,DMAC2L,QPRT,
,,,,DDX3X,ERCC5,GOLGA8Q,MAP4K5,MAZ,
,,,,CASK,CARS2,CHRNA7,ATL1,DOC2A,
,,,,KDM6A,ANKRD10-IT1,EMC4,TMX1,BOLA2B,
,,,,ZNF41,ARHGEF7,SRP14,FRMD6,ZNF771,
,,,,ARAF,TUBGCP3,SRP14-AS1,RTRAF,ZNF768,
,,,,PORCN,ADPRHL1,RAD51-AS1,TXNDC16,ZNF629,
,,,,TBC1D25,GAS6,CHAC1,ARMH4,BCL7C,
,,,,KCND1,CHD8,MAP1A,PSMA3,CTF1,
,,,,GRIPAP1,RAB2B,STRC,KIAA0586,FBXL19-AS1,
,,,,WDR45,TOX4,EIF3J-DT,PRKCH,FBXL19,
,,,,MAGIX,ABHD4,DUOX1,SNAPC1,ZNF843,
,,,,PLP2,C14orf93,SLC28A2,SYNE2,C16orf58,
,,,,PRICKLE3,ACIN1,SLC30A4,ESR2,MMP2,
,,,,SYP,C14orf119,EID1,RAB15,CAPNS2,
,,,,USP27X-AS1,HOMEZ,DTWD1,FUT8,NUDT21,
,,,,FAM156A,PPP1R3E,BCL2L10,FUT8-AS1,OGFOD1,
,,,,TSPYL2,BCL2L2,CERNA1,GPHN,CETP,
,,,,PHF8,PABPN1,ARPP19,MPP5,DOK4,
,,,,KLF8,AP1G2,UNC13C,EIF2S1,ADGRG3,
,,,,UBQLN2,DHRS4-AS1,GTF2A2,EXD2,KATNB1,
,,,,EDA,NRL,RORA,ERH,MMP15,
,,,,FOXO4,PCK2,RPS27L,SLC8A3,CFAP20,
,,,,GCNA,DCAF11,PPIB,MED6,CCDC113,
,,,,MAGT1,FITM1,MTFMT,RBM25,SETD6,
,,,,PGK1,RNF31,SNAPC5,RIOX1,GOT2,
,,,,HNRNPH2,TM9SF1,MAP2K5,ACOT1,PDP2,
,,,,SLC25A53,NEDD8,ANP32A,ACOT2,ACD,
,,,,FAM199X,NOP9,SENP8,PTGR2,TSNAXIP1,
,,,,WDR44,LTB4R2,STOML1,COQ6,AARS,
,,,,DOCK11,G2E3,PML,ALDH6A1,SF3B3,
,,,,SLC25A43,SCFD1,SEMA7A,LIN52,PMFBP1,
,,,,NDUFA1,AP4S1,UBL7,ABCD4,SYCE1L,
,,,,LAMP2,HECTD1,ULK3,FCF1,WWOX,
,,,,SASH3,SRP54,FAM219B,YLPM1,C16orf46,
,,,,ENOX2,FAM177A1,SCAMP5,ERG28,SDR42E1,
,,,,RAP2C-AS1,RALGAPA1,COMMD4,TGFB3,GSE1,
,,,,RTL8A,FBXO33,IMP3,ANGEL1,C16orf95,
,,,,ZNF75D,C14orf28,DNM1P35,GSTZ1,FBXO31,
,,,,MMGT1,MIS18BP1,UBE2Q2,TMED8,CTU2,
,,,,FMR1-AS1,MGAT2,ETFA,AHSA1,PABPN1L,
,,,,IDS,NEMF,HMG20A,STON2,RPL13,
,,,,MTM1,CDKL1,CIB2,ZC3H14,SPATA33,
,,,,ZNF185,GPR137C,IDH3A,EML5,MC1R,
,,,,IDH3G,PSMC6,ACSBG1,CCDC85C,GAS8,
,,,,IRAK1,DDHD1,IREB2,DEGS2,RFLNB,
,,,,MECP2,MAPK1IP1L,HYKK,MEG3,TSR1,
,,,,ATP6AP1,KTN1,PSMA4,HSP90AA1,METTL16,
,,,,PLXNA3,TMEM260,ARNT2,ZNF839,OR3A2,
,,,,SLC10A3,EXOC5,MESD,AMN,ATP2A3,
,,,,G6PD,AP5M1,C15orf40,CKB,PELP1,
,,,,CMC4,ACTR10,ALPK3,TEX22,ENO3,
,,,,TMLHE,PSMA3-AS1,MRPS11,SNURF,NUP88,
,,,,VAMP7,ARID4A,HAPLN3,GOLGA8R,DHX33,
,,,,DDX3Y,JKAMP,ZNF774,PGBD4,MIS12,
,,,,MT-CO1,DHRS7,HDDC3,KATNBL1,DVL2,
,,,,EFCAB10,PPP2R5E,LUNAR1,LPCAT4,SLC2A4,
,,,,PTCRA,ZBTB25,SYNM,ZNF770,EIF5A,
,,,,TRGV8,ZBTB1,LRRC28,RASGRP1,NLGN2,
,,,,TOX2,CHURC1,LYSMD4,GPR176-DT,WRAP53,
,,,,,FNTB,WASIR2,EIF2AK4,CYB5D1,
,,,,,RDH11,MRPL28,DISP2,CNTROB,
,,,,,RAD51B,PIGQ,IVD,MFSD6L,
,,,,,SRSF5,NHLRC4,OIP5-AS1,TMEM220,
,,,,,ADAM20,WFIKKN1,RTF1,COX10-AS1,
,,,,,TTC9,STUB1,RPAP1,TRIM16,
,,,,,ZNF410,TPSD1,MAPKBP1,SNHG29,
,,,,,FAM161B,UBE2I,STARD9,COPS3,
,,,,,DLST,BAIAP3,ADAL,NT5M,
,,,,,NEK9,TMEM204,CATSPER2,PEMT,
,,,,,TMED10,FAHD1,PDIA3,FOXO3B,
,,,,,BATF,NDUFB10,MFAP1,TRIM16L,
,,,,,GPATCH2L,SYNGR3,CTDSPL2,MFAP4,
,,,,,CIPC,PRSS27,SHF,USP22,
,,,,,NOXRED1,PRSS21,SLC24A5,KCNJ12,
,,,,,VIPAS39,MMP25-AS1,SHC4,RPL23A,
,,,,,ALKBH1,IL32,COPS2,TIAF1,
,,,,,SNW1,TIGD7,FAM227B,BLMH,
,,,,,C14orf178,ZNF75A,GABPB1,COPRS,
,,,,,ADCK1,ZSCAN32,GABPB1-AS1,SUZ12,
,,,,,FOXN3-AS2,SLX4,TRPM7,MYO1D,
,,,,,RPS6KA5,NUDT16L1,LEO1,CCT6B,
,,,,,DGLUCY,ATF7IP2,MAPK6,LIG3,
,,,,,PPP4R3A,SOCS1,GNB5,RAD51D,
,,,,,TRIP11,PARN,MYO5C,DHRS11,
,,,,,ITPK1-AS1,NOMO1,RSL24D1,MRM1,
,,,,,BTBD7,UQCRC2,C15orf65,ACACA,
,,,,,ATG2B,DCTN5,DNAAF4,RPL23,
,,,,,GSKIP,LCMT1,PYGO1,IKZF3,
,,,,,PAPOLA,KDM8,RFX7,KLHL11,
,,,,,SETD3,NSMCE1-DT,ZNF280D,AARSD1,
,,,,,YY1,SBK1,GCOM1,ASB16,
,,,,,WDR25,NPIPB6,ICE2,ITGA2B,
,,,,,DYNC1H1,RABEP2,RORA-AS1,DBF4B,
,,,,,WDR20,CD19,USP3-AS1,GJC1,
,,,,,EIF5,NFATC2IP,FBXL22,SP2-AS1,
,,,,,COA8,NPIPB11,ZNF609,HOXB3,
,,,,,NIPA2,INO80E,RBPMS2,HOXB-AS3,
,,,,,UBE3A,SEPTIN1,PDCD7,PHB,
,,,,,NSMCE3,ZNF689,PARP16,MYCBPAP,
,,,,,EMC7,ZNF668,INTS14,NME2,
,,,,,AQR,VKORC1,LCTL,UTP18,
,,,,,CCDC9B,PYCARD-AS1,IQCH,TOM1L1,
,,,,,KNSTRN,TRIM72,IQCH-AS1,STXBP4,
,,,,,CCDC32,PYDC1,C15orf61,NOG,
,,,,,RMDN3,SLC5A2,LOXL1-AS1,MSI2,
,,,,,DNAJC17,BRD7,LOXL1,SRSF1,
,,,,,ZFYVE19,IRX5,UBL7-AS1,RNF43,
,,,,,INO80,GNAO1,EDC3,SKA2,
,,,,,NDUFAF1,COQ9,MPI,INTS2,
,,,,,JMJD7,POLR2C,COX5A,METTL2A,
,,,,,TMEM87A,ADGRG1,RPP25,POLG2,
,,,,,TTBK2,TEPP,FBXO22,CEP95,
,,,,,UBR1,CES3,NRG4,NOL11,
,,,,,TMEM62,KIAA0895L,WDR61,SSTR2,
,,,,,ZSCAN29,TMEM208,CHRNA5,RPL38,
,,,,,SPATA5L1,SLC9A5,TMC3-AS1,SLC25A19,
,,,,,BLOC1S6,C16orf86,MEX3B,CASKIN2,
,,,,,GALK2,GFOD2,EFL1,TSEN54,
,,,,,GABPB1-IT1,DPEP3,SAXO2,SMIM5,
,,,,,AP4E1,DDX28,GOLGA6L10,SMIM6,
,,,,,LYSMD2,SLC7A6,GOLGA6L9,UNK,
,,,,,FAM214A,SMPD3,SNHG21,TRIM65,
,,,,,PIGBOS1,ZFP90,HDGFL3,MRPL38,
,,,,,PIGB,TERF2,GOLGA6L4,FBF1,
,,,,,TCF12,CYB5B,WDR73,SNHG16,
,,,,,POLR2M,DDX19B,MRPL46,SRSF2,
,,,,,LIPC,ZNF19,DET1,AFMID,
,,,,,SLTM,PSMD7,MFGE8,LGALS3BP,
,,,,,SNX22,FA2H,KIF7,TBC1D16,
,,,,,CSNK1G1,CFDP1,PEX11A,CCDC40,
,,,,,UBAP1L,TERF2IP,WDR93,RPTOR,
,,,,,CLPX,MPHOSPH6,CRTC3-AS1,CEP131,
,,,,,RAB11A,COX4I1,VPS33B-DT,NDUFAF8,
,,,,,AAGAB,TRAPPC2L,IRAIN,BAHCC1,
,,,,,DRAIC,SPG7,TTC23,FAAP100,
,,,,,UACA,DPEP1,RHBDF1,DCXR-DT,
,,,,,MYO9A,CDK10,MPG,DUS1L,
,,,,,PARP6,CENPBD1,NPRL3,OGFOD3,
,,,,,CELF6,DBNDD1,HBQ1,RAB40B,
,,,,,HEXA,RPH3AL,FAM234A,FN3KRP,
,,,,,ARIH1,GLOD4,DECR2,B3GNTL1,
,,,,,BBS4,NXN,ANTKMT,USP14,
,,,,,ARID3B,TIMM22,CIAO3,THOC1,
,,,,,SCAMP2,DPH1,RPUSD1,ENOSF1,
,,,,,PPCDC,HIC1,LMF1,YES1,
,,,,,SNUPN,TRPV3,TPSB2,PIEZO2,
,,,,,SCAPER,EMC6,TPSAB1,AFG3L2,
,,,,,TBC1D2B,ITGAE,C16orf91,SEH1L,
,,,,,MORF4L1,PSMB6,TBL3,FAM210A,
,,,,,WHAMM,ZFP3,GFER,MIB1,
,,,,,RAMAC,ZNF232,ZNF598,RBBP8,
,,,,,ISG20,TXNDC17,NTHL1,CABLES1,
,,,,,ABHD2,C17orf49,RAB26,TMEM241,
,,,,,POLG,ACAP1,ECI1,B4GALT6,
,,,,,CIB1,TNK1,RNPS1,TPGS2,
,,,,,GDPGP1,TMEM256,SRRM2-AS1,HAUS1,
,,,,,NGRN,EIF4A1,THOC6,KATNAL2,
,,,,,MAN2A2,MPDU1,ZNF213-AS1,RPL17,
,,,,,UNC45A,CHD3,ZNF263,MEX3C,
,,,,,VPS33B,ALOX12B,ZNF174,C18orf54,
,,,,,CHD2,HES7,CLUAP1,RAB27B,
,,,,,LINS1,SLC25A35,NLRC3,PIGN,
,,,,,ASB7,MYH10,NMRAL1,PHLPP1,
,,,,,HBM,PIK3R6,HMOX2,BCL2,
,,,,,LUC7L,ADPRM,CDIP1,KDSR,
,,,,,AXIN1,ZNF18,C16orf96,FBXO15,
,,,,,CAPN15,ARHGAP44,UBALD1,TIMM21,
,,,,,RAB40C,ZNF287,ANKS3,KCNG2,
,,,,,RHOT2,DRG2,TMEM186,RBFA,
,,,,,WDR24,MIEF2,DEXI,RBFADN,
,,,,,TSR3,LGALS9C,GSPT1,PRSS57,
,,,,,UNKL,FAM83G,NPIPB2,PALM,
,,,,,CCDC154,GRAP,MRTFB,WDR18,
,,,,,NME3,GRAPL,RRN3,GAMT,
,,,,,SPSB3,LGALS9B,MYH11,DAZAP1,
,,,,,SLC9A3R2,LYRM9,FOPNL,RPS15,
,,,,,TSC2,SARM1,RPS15A,TCF3,
,,,,,TRAF7,RAB34,ACSM1,DOT1L,
,,,,,E4F1,PIPOX,DCUN1D3,LSM7,
,,,,,DNASE1L2,SEZ6,LYRM1,TIMM13,
,,,,,SRRM2,ABHD15,EEF2K,GNG7,
,,,,,FLYWCH2,NSRP1,NDUFAB1,SLC39A3,
,,,,,HCFC1R1,GOSR1,RBBP6,MATK,
,,,,,ZNF200,UTP6,LCMT1-AS2,MYDGF,
,,,,,ZNF597,CCL1,ZKSCAN2,RPL36,
,,,,,DNASE1,SLFN12L,NSMCE1,LONP1,
,,,,,MGRN1,SNHG30,GTF3C1,DUS3L,
,,,,,ZNF500,PEX12,SGF29,RFX2,
