cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
WDFY1,ULBP2,SULT1B1,ZCWPW2,TEX261,SCYL3,NAV1,SLC35F3,PDIA6,FANCD2
DOCK10,ULBP3,CXCL8,RBMS3,EXOC6B,GORAB,TIMM17A,GNG4,GREB1,TSEN2
AGFG1,RBAKDN,BMP2K,TGFBR2,SFXN5,FMO4,REN,ERO1B,DDX1,NUP210
PID1,GSDME,RASGEF1B,CMTM6,MTHFD2,PRRC2C,PIK3C2B,CHRM3,MYCN,SGO1
HDAC4,ANLN,KLHL8,GLB1,MRPL53,KLHL20,LRRN2,CATSPERE,WDR35,NEK10
GPR35,C7orf57,SPP1,CRTAP,CCDC142,ZBTB37,NFASC,EFCAB2,LDAH,SCN11A
CAMK1,ABCB4,SNCA,PDCD6IP,LOXL3,RC3H1-IT1,DSTYK,SMYD3,MFSD2B,MYRIP
HRH1,DYNC1I1,PDLIM5,OXSR1,ELMOD3,RABGAP1L-DT,CDK18,CNST,DNAJC27,KIF15
ATG7,LHFPL3-AS2,DAPP1,GORASP1,VAMP5,ABL2,C1orf147,AHCTF1,DTNB,LRRC2
SYN2,CCDC136,TET2,TTC21A,TMEM150A,AXDND1,MAPKAPK2,GCSAML,SELENOI,KIF9
PPARG,ATP6V1FNB,METTL14-DT,CSRNP1,EIF2AK3,TOR1AIP2,FCMR,TRIM58,AGBL5,CDC25A
IQSEC1,STRIP2,SEC24D,CLEC3B,EIF2AK3-DT,KIAA1614-AS1,CR2,OR2L8,EMILIN1,PLXNB1
HDAC11-AS1,PODXL,IL15,CCRL2,MRPS5,SMG7,PACC1,OR2L5,KHK,CELSR3
DLEC1,LRGUK,TMEM154,KLHL18,STARD7-AS1,NIBAN1,GPATCH2,OR2L2,PPM1G,IMPDH2
MYD88,CLCN1,FHDC1,SHISA5,COX5B,RNF2,BPNT1,OR2L3,IFT172,LAMB2
CX3CR1,EPHA1,TMEM144,UQCRC1,TMEM131,TRMT1L,IARS2,OR2M4,WDR43,TRAIP
VIPR1,EPHA1-AS1,FNIP2,PRKAR2A,UNC50,SWT1,CDC42BPA,ACP1,LCLAT1,IFRD2
ABHD5,PDIA4,1-Mar,SLC25A20,LYG1,ODR4,SNAP47,MYT1L,FAM98A,HYAL3
CCR1,AOC1,KLHL2,C3orf62,IL18RAP,PLA2G4A,WNT9A,EIPR1,CRIM1,ZMYND10
CCR2,NOS3,DDX60L,USP4,IL1B,RO60,GJC2,EIPR1-IT1,CEBPZ,ABHD14A
CCR5AS,ATG9B,PALLD,RHOA,PSD4,CDC73,IBA57,YWHAQ,ATL2,ACY1
CCR5,PTPRN2,ANKRD37,GNAI2,CBWD2,ZBTB41,TRIM17,NOL10,MORN2,POC1A
CAMP,KBTBD11,C4orf47,DNAH1,CCDC93,ZNF281,HIST3H2A,E2F6,THUMPD2,NT5DC2
PFKFB4,CSMD1,SRD5A1,NISCH,INSIG2,DDX59,RNF187,NBAS,C1GALT1C1L,C3orf67
COL7A1,DEFB1,FYB1,STAB1,C2orf76,PPP1R12B,TAF5L,MYCNOS,DYNC2LI1,PROK2
SLC26A6,CLDN23,ARL15,NEK4,AMMECR1L,RABIF,GALNT2,SMC6,ABCG8,CADM2
RHOA-IT1,MTMR7,IL6ST,ITIH4,RAB3GAP1,TMEM183A,C1orf131,RDH14,EPCAM,ST3GAL6-AS1
PCBP4,SLC7A2,MAP3K1,DENND6A-DT,STAM2,ATP2B4,PCNX2,WDCP,MSH2,DCBLD2
CACNA2D3,RHOBTB2,PLK2,EIF4E3,GPD2,ZC3H11A,KCNK1,SF3B6,STON1,CMSS1
SUCLG2,NKX3-1,PART1,CRYBG3,ACVR1,MDM4,TBCE,FAM228B,PSME4,HHLA2
MITF,EPHX2,ZSWIM6,SLC35A5,BAZ2B,CNTN2,COX20,FAM228A,RPS27A,CIP2A
ST3GAL6,PBK,SGTB,TMEM39A,IFIH1,RBBP5,ZNF669,PTRHD1,CFAP36,NECTIN3
FILIP1L,TEX15,ERBIN,HCLS1,CYBRD1,ELK4,OR2C3,POMC,PNPT1,CCDC80
NXPE3,ADGRA2,ZNF366,PARP9,CHN1,PLXNA2,OR2AK2,DNMT3A,FANCL,NR1I2
